	270165.00	270630.00	271095.00	271560.00	272025.00	272490.00	272955.00	273420.00	273885.00	274350.00	274815.00	275280.00	275745.00	276210.00	276675.00	277140.00	277605.00	278070.00	278535.00	279000.00	279465.00	279930.00	280395.00	280860.00	281325.00	281790.00	282255.00	282720.00	283185.00	283650.00
	662565.00	663930.00	665295.00	666660.00	668025.00	669390.00	670755.00	672120.00	673485.00	674850.00	676215.00	677580.00	678945.00	680310.00	681675.00	683040.00	684405.00	685770.00	687135.00	688500.00	689865.00	691230.00	692595.00	693960.00	695325.00	696690.00	698055.00	699420.00	700785.00	702150.00
	1054965.00	1057230.00	1059495.00	1061760.00	1064025.00	1066290.00	1068555.00	1070820.00	1073085.00	1075350.00	1077615.00	1079880.00	1082145.00	1084410.00	1086675.00	1088940.00	1091205.00	1093470.00	1095735.00	1098000.00	1100265.00	1102530.00	1104795.00	1107060.00	1109325.00	1111590.00	1113855.00	1116120.00	1118385.00	1120650.00
	1447365.00	1450530.00	1453695.00	1456860.00	1460025.00	1463190.00	1466355.00	1469520.00	1472685.00	1475850.00	1479015.00	1482180.00	1485345.00	1488510.00	1491675.00	1494840.00	1498005.00	1501170.00	1504335.00	1507500.00	1510665.00	1513830.00	1516995.00	1520160.00	1523325.00	1526490.00	1529655.00	1532820.00	1535985.00	1539150.00
	1839765.00	1843830.00	1847895.00	1851960.00	1856025.00	1860090.00	1864155.00	1868220.00	1872285.00	1876350.00	1880415.00	1884480.00	1888545.00	1892610.00	1896675.00	1900740.00	1904805.00	1908870.00	1912935.00	1917000.00	1921065.00	1925130.00	1929195.00	1933260.00	1937325.00	1941390.00	1945455.00	1949520.00	1953585.00	1957650.00
	2232165.00	2237130.00	2242095.00	2247060.00	2252025.00	2256990.00	2261955.00	2266920.00	2271885.00	2276850.00	2281815.00	2286780.00	2291745.00	2296710.00	2301675.00	2306640.00	2311605.00	2316570.00	2321535.00	2326500.00	2331465.00	2336430.00	2341395.00	2346360.00	2351325.00	2356290.00	2361255.00	2366220.00	2371185.00	2376150.00
	2624565.00	2630430.00	2636295.00	2642160.00	2648025.00	2653890.00	2659755.00	2665620.00	2671485.00	2677350.00	2683215.00	2689080.00	2694945.00	2700810.00	2706675.00	2712540.00	2718405.00	2724270.00	2730135.00	2736000.00	2741865.00	2747730.00	2753595.00	2759460.00	2765325.00	2771190.00	2777055.00	2782920.00	2788785.00	2794650.00
	3016965.00	3023730.00	3030495.00	3037260.00	3044025.00	3050790.00	3057555.00	3064320.00	3071085.00	3077850.00	3084615.00	3091380.00	3098145.00	3104910.00	3111675.00	3118440.00	3125205.00	3131970.00	3138735.00	3145500.00	3152265.00	3159030.00	3165795.00	3172560.00	3179325.00	3186090.00	3192855.00	3199620.00	3206385.00	3213150.00
	3409365.00	3417030.00	3424695.00	3432360.00	3440025.00	3447690.00	3455355.00	3463020.00	3470685.00	3478350.00	3486015.00	3493680.00	3501345.00	3509010.00	3516675.00	3524340.00	3532005.00	3539670.00	3547335.00	3555000.00	3562665.00	3570330.00	3577995.00	3585660.00	3593325.00	3600990.00	3608655.00	3616320.00	3623985.00	3631650.00
	3801765.00	3810330.00	3818895.00	3827460.00	3836025.00	3844590.00	3853155.00	3861720.00	3870285.00	3878850.00	3887415.00	3895980.00	3904545.00	3913110.00	3921675.00	3930240.00	3938805.00	3947370.00	3955935.00	3964500.00	3973065.00	3981630.00	3990195.00	3998760.00	4007325.00	4015890.00	4024455.00	4033020.00	4041585.00	4050150.00
